385	781354						
285	6566						
421	9257						
873	4339						
1496	8226						
723	29194						
1140	6778						
766	28867						
327	9653						
396	18397						
343	4987						
373	3018						 
686	7134						 
447	7139						 
729	29663						 
751	7046						 
1013	23441						 
762	8728						 
491	6484						
717	3996						
663	6085						
757	13104						
584	31420						
397	238294						
2445	15039						
658	9823						
435	44118						
650	13462						
348	2996						
658	9501						
1031	11108						
407	57324						
534	196472						
999	33250						
380	8019						
815	296342						
937	20229						
372	7362						
916	18229						
939	13764						
929	15215						
1112	11072						
1205	12405						
1142	17455						
1152	34241						
452	45265						
408	80157						
577	18388						
1214	17524						
825	33239						
